municipality_key,municipality,area,population
14626250,Krauschwitz i.d. O.L. / Krušwica,106.83,3367
05170016,Hünxe,106.86,13611
15090520,Seehausen (Altmark); Hansestadt,107.03,4808
08135019,Heidenheim an der Brenz; Stadt,107.09,49129
03405000,Wilhelmshaven; Stadt,107.11,75027
05382076,Windeck,107.22,18864
09172131,Schneizlreuth,107.28,1360
08225060,Mudau,107.49,4932
05566016,Hörstel; Stadt,107.54,20506
03358023,Wietzendorf,107.58,4156
15087386,Seegebiet Mansfelder Land,107.93,8857
03252002,Bad Münder am Deister; Stadt,107.97,17447
08416041,Tübingen; Universitätsstadt,108.06,91877
16062066,Bleicherode; Stadt,108.17,10129
10045112,Blieskastel; Stadt,108.21,20153
16075098,Schleiz; Stadt,108.21,8800
16072013,Neuhaus am Rennweg; Stadt,108.22,8778
16062041,Nordhausen; Stadt,108.25,40563
03453005,Emstek,108.4,12351
08436009,Bad Waldsee; Stadt,108.55,20175
07319000,Worms; Stadt,108.73,83850
03153019,Langelsheim; Stadt,108.76,14990
09277121,Gangkofen; M,108.76,6469
14625570,Spreetal / Sprjewiny Doł,108.8,1809
08221000,Heidelberg; Stadt,108.83,159245
09276130,Lindberg,108.84,2292
05566028,Ibbenbüren; Stadt,108.87,51888
08437086,Ostrach,108.89,6909
15086035,Elbe-Parey,108.91,6356
10042113,Merzig; Kreisstadt,108.98,29609
03257031,Rinteln; Stadt,109.02,25380
08127014,Crailsheim; Stadt,109.08,34862
13071092,Malchin; Stadt,109.28,7282
15088319,Salzatal,109.39,11325
16062065,Harztor,109.4,7476
05558044,Senden,109.45,20495
03251049,Bruchhausen-Vilsen; Flecken,109.73,9109
03353040,Winsen (Luhe); Stadt,109.77,35630
05774036,Salzkotten; Stadt,109.8,25040
05154044,Rees; Stadt,109.86,21045
03254008,Bockenem; Stadt,109.96,9666
12072240,Ludwigsfelde; Stadt,109.98,27658
07232263,Lützkampen,11.01,359
09778111,Amberg,11.01,1502
13076107,Pampow,11.01,3049
06431001,Abtsteinach,11.02,2437
07138057,Puderbach,11.02,2418
07232027,Dudeldorf,11.02,1304
08416009,Dettenhausen,11.02,5430
07233229,Nohn,11.03,450
09377115,Ebnath,11.04,1254
13076071,Klein Rogahn,11.04,1326
03255007,Deensen,11.05,1346
07134087,Stipshausen,11.05,815
03257025,Niedernwöhren,11.06,2016
09679194,Thüngersheim,11.06,2743
01056021,Hasloh,11.07,3775
14628160,Heidenau; Stadt,11.07,16540
01061020,Büttel,11.08,31
13071002,Altenhagen,11.08,310
09572131,Heroldsberg; M,11.09,8485
13071009,Beseritz,11.09,120
13074080,Utecht,11.09,429
03159033,Seulingen,11.1,1329
09678453,Hundelshausen,11.1,0
13076018,Bresegard bei Eldena,11.1,199
01053101,Ritzerau,11.11,298
06533005,Elbtal,11.11,2394
07235028,Freudenburg,11.11,1830
